,treatment,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,coworkers,supervisor,mental_vs_physical,obs_consequence
0,1,2,1,1,2,2,2,1,1,2,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,0,0,0,0,0,1,1,2,0,0
5,0,2,1,1,0,0,0,1,2,2,0,0
6,1,1,0,1,1,1,1,0,1,0,0,0
8,1,2,2,1,1,1,3,0,2,2,1,0
10,1,0,0,1,1,0,0,1,1,2,0,0
12,1,2,2,1,1,0,1,2,2,2,1,1
13,0,0,1,1,0,0,0,1,2,2,0,0
15,1,2,1,1,1,0,2,1,2,1,0,0
17,1,2,2,1,0,0,0,0,1,2,1,0
18,0,2,1,2,0,2,4,1,2,2,2,1
20,1,2,2,1,1,1,1,0,1,1,1,0
21,0,1,0,1,1,2,1,1,1,1,2,0
22,1,2,2,1,1,0,0,0,1,2,1,0
23,1,0,0,1,0,0,0,0,0,0,0,0
24,1,2,1,0,2,2,0,1,2,2,0,0
25,1,2,2,1,0,1,4,2,1,2,1,0
26,0,0,1,1,0,0,0,0,1,0,0,0
27,1,2,2,0,0,0,0,1,2,2,2,0
28,1,0,1,1,0,0,1,1,1,0,1,0
31,0,1,2,1,1,0,1,2,0,0,1,1
33,1,2,2,2,2,2,4,0,1,1,0,0
34,1,2,2,1,1,0,0,0,1,0,2,0
35,1,1,2,1,1,0,4,1,2,2,0,0
38,0,2,2,1,0,0,0,1,1,2,0,0
39,1,2,2,1,2,2,4,1,2,2,2,0
41,0,2,1,0,2,0,1,2,1,0,0,0
44,1,0,0,1,1,0,0,1,0,0,0,0
45,1,2,2,1,2,2,2,1,1,2,2,0
47,0,1,0,1,1,0,0,1,2,2,0,0
49,1,2,0,1,0,0,0,0,1,2,0,0
50,1,1,2,1,1,2,3,0,0,0,0,0
51,0,0,1,0,0,0,0,1,1,2,0,0
52,0,0,0,0,0,0,0,0,1,1,0,0
53,0,0,1,1,1,0,0,0,1,2,0,0
55,1,2,2,1,1,2,0,0,0,0,0,0
56,0,0,0,1,1,0,2,1,2,2,2,0
57,1,0,0,1,1,0,0,1,1,2,1,0
58,0,1,0,1,1,2,2,1,1,2,0,0
60,1,2,0,1,0,0,0,2,1,0,0,1
65,0,2,2,2,2,0,0,2,1,0,1,1
67,0,2,0,0,2,0,0,0,1,1,2,0
68,0,0,0,0,0,0,0,0,1,0,0,0
69,0,1,0,1,1,0,0,0,1,0,0,0
72,0,2,2,1,1,2,1,0,2,2,1,0
74,0,0,1,2,0,0,0,0,1,1,2,0
76,0,2,2,2,2,0,0,1,2,2,2,0
77,0,1,0,1,1,2,1,1,2,2,2,0
78,1,1,0,1,1,0,1,2,1,0,1,0
80,0,2,2,1,2,0,0,1,2,1,2,0
83,1,2,2,2,2,2,4,0,1,2,2,0
84,0,1,0,1,1,0,0,2,0,0,1,0
85,0,0,1,1,1,0,0,1,1,2,1,0
87,1,2,1,1,0,0,0,2,1,1,0,0
88,1,2,2,1,1,0,0,0,1,1,1,1
89,0,0,0,1,0,0,0,1,1,1,0,0
90,0,2,2,2,2,2,2,1,1,2,2,0
91,1,1,2,1,1,2,3,1,2,2,1,0
92,0,0,0,1,1,0,2,0,1,0,0,0
95,0,0,0,1,0,0,0,1,2,2,1,0
96,0,0,1,1,0,0,2,0,1,0,0,0
98,1,1,2,1,1,0,2,0,1,0,1,0
99,1,1,2,1,1,2,2,1,2,2,2,0
101,0,2,1,0,0,0,0,0,0,1,0,0
102,0,0,0,0,0,0,4,1,1,2,0,0
103,1,2,2,2,2,2,2,1,1,2,2,0
104,0,2,1,2,0,0,2,1,1,2,0,0
105,0,2,1,1,1,2,2,1,1,2,0,0
106,1,0,1,1,1,0,2,1,1,2,1,0
108,0,2,0,1,1,0,0,0,0,0,0,0
109,1,2,0,2,2,2,1,0,1,2,2,0
110,1,2,2,1,0,2,0,2,0,0,1,0
111,1,2,2,2,2,2,2,1,1,1,2,0
112,1,2,2,1,2,2,4,1,2,2,2,0
113,0,2,2,1,0,0,0,0,1,1,0,0
114,0,0,0,1,0,0,0,0,1,0,0,0
118,1,1,0,1,1,2,4,1,1,0,0,0
119,0,0,1,1,0,0,0,1,1,2,0,0
120,0,2,2,1,2,0,0,2,0,0,0,0
121,0,0,0,1,1,0,4,1,1,2,0,0
122,1,0,0,0,0,2,4,1,2,2,2,0
123,0,2,0,1,1,2,0,0,0,0,0,0
125,0,2,0,2,2,2,0,2,1,0,0,0
127,1,2,2,1,2,2,0,2,0,2,0,0
130,1,2,2,1,1,0,4,0,2,1,1,0
131,0,1,2,1,1,0,3,0,2,1,0,0
132,0,0,1,0,0,0,0,1,2,2,0,0
137,1,2,1,1,1,0,2,1,2,2,0,0
138,0,0,0,1,0,0,2,0,1,0,0,0
140,1,0,0,0,0,0,0,0,1,2,0,0
142,0,0,1,0,0,0,0,2,1,0,0,0
143,0,2,0,0,2,0,0,1,1,2,0,0
144,0,0,1,1,0,0,0,0,1,1,0,0
145,1,2,2,2,2,0,2,0,1,2,0,0
147,0,1,0,1,1,1,2,2,0,0,1,0
149,0,0,1,1,0,0,0,0,0,1,0,0
151,0,0,1,1,1,0,4,1,1,1,1,0
153,0,0,1,0,0,0,0,1,1,1,0,0
155,1,0,0,1,0,0,1,0,1,1,1,0
156,1,0,0,1,0,0,0,1,0,1,0,0
157,0,0,1,1,1,0,0,2,1,2,1,0
158,1,1,2,1,1,0,1,0,1,2,0,1
159,1,0,1,1,1,0,4,0,1,0,0,1
161,1,2,0,1,1,0,0,2,1,1,0,0
162,0,2,0,1,2,0,0,1,1,1,0,0
163,0,0,0,1,1,0,0,0,1,2,0,0
164,1,1,2,2,2,2,3,1,1,2,2,0
166,0,1,0,1,1,0,4,0,1,1,0,0
167,0,1,2,1,1,0,3,0,2,2,1,0
173,0,0,0,1,0,0,0,0,1,2,2,0
175,0,0,1,1,0,0,0,0,0,1,0,0
177,1,2,1,0,0,2,4,1,2,2,2,1
178,1,2,0,1,1,2,1,1,2,2,2,0
179,0,0,0,1,1,0,4,1,2,2,0,0
183,1,0,1,0,0,0,0,2,1,1,0,0
184,1,2,1,1,0,0,3,2,0,0,1,0
185,0,2,0,1,1,0,0,2,1,0,1,0
189,1,2,1,0,1,2,2,0,0,0,0,0
191,1,2,0,1,1,0,2,0,1,0,1,0
193,1,1,0,1,1,2,0,1,1,2,0,0
196,0,0,1,1,1,0,0,0,1,0,0,0
197,0,2,0,1,1,2,2,1,1,2,1,0
198,0,2,2,1,1,0,2,0,1,1,2,0
200,1,2,0,1,1,0,4,1,1,1,2,0
201,1,2,2,2,2,2,2,0,1,2,2,0
202,1,1,1,1,1,0,3,0,1,1,0,0
207,1,1,2,1,1,2,2,0,2,2,0,0
208,0,0,1,1,0,0,0,1,1,2,0,0
210,0,2,2,2,2,2,2,1,1,2,2,0
213,1,0,0,1,1,1,0,2,1,1,1,1
214,1,2,2,0,0,2,4,1,2,2,2,0
215,1,1,0,0,0,0,3,1,1,0,0,0
218,1,2,0,1,0,0,1,0,1,0,0,0
219,0,2,1,1,1,0,4,2,0,1,0,0
220,0,2,0,1,1,0,2,1,2,2,2,0
222,0,0,0,1,1,0,0,1,1,1,0,0
223,1,1,2,1,1,2,3,2,0,1,1,0
224,0,0,1,0,0,0,0,1,0,2,2,0
225,0,0,0,0,1,2,4,1,2,2,2,0
226,0,1,2,1,1,0,3,1,1,2,2,0
228,0,2,1,1,0,0,4,0,1,0,2,0
230,1,2,0,1,2,0,0,0,1,1,0,1
231,1,2,2,1,0,0,0,0,1,0,1,0
233,0,0,1,1,0,0,0,0,1,2,1,0
238,1,2,2,2,2,2,2,1,1,1,2,0
241,1,1,0,1,1,0,1,0,1,1,1,1
242,1,2,2,2,2,2,2,1,1,2,0,0
244,0,2,2,0,0,2,2,1,1,2,2,0
245,1,2,2,2,2,2,0,2,0,0,1,1
246,1,0,0,1,0,0,0,0,0,0,0,0
248,1,1,0,1,1,0,0,0,2,2,0,0
249,1,2,2,2,0,2,0,0,1,0,0,0
250,1,0,0,1,0,2,2,0,1,1,2,0
251,0,2,0,1,0,2,2,1,1,2,2,1
252,1,2,2,2,0,2,4,1,1,2,2,0
