,treatment,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,coworkers,supervisor,mental_vs_physical,obs_consequence
0,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
1,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
4,No,Yes,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
5,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,Don't know,No
6,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Some of them,No,Don't know,No
8,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,Yes,Yes,No,No
10,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Don't know,No
12,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,No,Yes
13,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,Don't know,No
15,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Some of them,Don't know,No
17,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,No
18,No,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,Yes,Yes,Yes,Yes
20,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,Some of them,Some of them,No,No
21,No,No,No,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,Yes,No
22,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No
23,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
24,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,Yes,Yes,Don't know,No
25,Yes,Yes,Yes,No,Don't know,No,Very easy,Yes,Some of them,Yes,No,No
26,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
27,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Yes,No
28,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,Some of them,No,No,No
31,No,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,Yes
33,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Some of them,Don't know,No
34,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,Yes,No
35,Yes,No,Yes,No,No,Don't know,Very easy,No,Yes,Yes,Don't know,No
38,No,Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
39,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Yes,No
41,No,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Some of them,No,Don't know,No
44,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,No,Don't know,No
45,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
47,No,No,No,No,No,Don't know,Don't know,No,Yes,Yes,Don't know,No
49,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
50,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,Don't know,No
51,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
52,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
53,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
55,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,Don't know,No
56,No,Don't know,No,No,No,Don't know,Somewhat easy,No,Yes,Yes,Yes,No
57,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,No,No
58,No,No,No,No,No,Yes,Somewhat easy,No,Some of them,Yes,Don't know,No
60,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,Some of them,No,Don't know,Yes
65,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Some of them,No,No,Yes
67,No,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,No
68,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
69,No,No,No,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
72,No,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,Yes,Yes,No,No
74,No,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,No
76,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Yes,Yes,Yes,No
77,No,No,No,No,No,Yes,Somewhat difficult,No,Yes,Yes,Yes,No
78,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,Some of them,No,No,No
80,No,Yes,Yes,No,Yes,Don't know,Don't know,No,Yes,Some of them,Yes,No
83,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Yes,Yes,No
84,No,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No
85,No,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Yes,No,No
87,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,No
88,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,Yes
89,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
90,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
91,Yes,No,Yes,No,No,Yes,Very difficult,No,Yes,Yes,No,No
92,No,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,Don't know,No
95,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,No
96,No,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,Don't know,No
98,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,No,No
99,Yes,No,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,Yes,No
101,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
102,No,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Some of them,Yes,Don't know,No
103,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
104,No,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,Don't know,No
105,No,Yes,Not sure,No,No,Yes,Somewhat easy,No,Some of them,Yes,Don't know,No
106,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,No
108,No,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,Don't know,No
109,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Yes,Yes,No
110,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,No,No,No
111,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,Yes,No
112,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Yes,No
113,No,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
114,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
118,Yes,No,No,No,No,Yes,Very easy,No,Some of them,No,Don't know,No
119,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
120,No,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No,No,Don't know,No
121,No,Don't know,No,No,No,Don't know,Very easy,No,Some of them,Yes,Don't know,No
122,Yes,Don't know,No,Don't know,Don't know,Yes,Very easy,No,Yes,Yes,Yes,No
123,No,Yes,No,No,No,Yes,Don't know,Maybe,No,No,Don't know,No
125,No,Yes,No,Yes,Yes,Yes,Don't know,Yes,Some of them,No,Don't know,No
127,Yes,Yes,Yes,No,Yes,Yes,Don't know,Yes,No,Yes,Don't know,No
130,Yes,Yes,Yes,No,No,Don't know,Very easy,Maybe,Yes,Some of them,No,No
131,No,No,Yes,No,No,Don't know,Very difficult,Maybe,Yes,Some of them,Don't know,No
132,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Don't know,No
137,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Yes,Don't know,No
